TOTALDEMAND,RRP
3888.01,47.19
3795.87,44.58
3697.61,43.71
3644.98,42.67
3566.46,43.16
3560.14,40.49
3560.36,41.25
3610.76,43.89
3674.64,45.53
3825.01,49.81
3871.6,52.74
4018.0,67.65
4108.0,56.79
4118.97,46.6
4109.98,42.63
4117.69,47.21
4074.4,32.41
4102.15,39.86
4051.41,36.25
3961.31,37.94
3931.94,40.47
3895.75,40.51
3861.09,44.76
3880.27,49.1
3857.23,44.5
3813.93,34.79
3806.63,40.58
3849.41,46.62
3880.78,44.83
3975.43,47.77
4023.93,43.95
4061.64,43.81
4254.77,45.92
4467.86,58.73
4546.95,59.12
4638.36,59.13
4668.61,60.37
4711.65,59.71
4727.88,59.35
4707.57,60.72
4545.92,55.6
4469.06,56.9
4371.16,44.13
4231.38,45.91
4200.92,44.14
4401.31,57.43
4357.6,63.47
